trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.5, 'e': 0.9880115307742399}",30,0,-120.60564248066342,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.9878566566949545}",25,0,-184.95386428512782,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.9877007947590948}",25,0,-59.68507069334423,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9875439451225226}",25,0,-178.03038735347522,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9873861079420876}",20,0,-88.71257523626716,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-35.508166652787175,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9870674715819652}",25,0,-139.27634563817696,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-109.18676877002247,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.9867448869532726}",20,11,-55.81052343645651,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.9865821144408262}",20,8,-43.82442979344794,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-115.80780541623683,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.986253609833596}",20,0,-79.47792287460844,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9860878780673167}",25,0,-185.59068025083744,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.9859211602132415}",30,0,-111.19840848931509,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9857534564380882}",25,0,-114.59984051690937,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
